experiment_id,exp_number,n_features,n_features_selected,shots,reps,entanglement,noise_level,selected_features,best_c,cv_score,train_acc,test_acc,test_balanced_acc,precision,recall,recall_pos1,f1_score,gen_gap,kernel_time,train_time,y_test,y_pred
Noisy_f5_s4096_r1_full_low,1,5,5,4096,1,full,low,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0']",100.0,0.35000000000000003,1.0,0.5,0.35714285714285715,0.625,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.5,0.0,4.215528964996338,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 1]"
Noisy_f5_s4096_r1_full_standard,2,5,5,4096,1,full,standard,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0']",100.0,0.37777777777777777,1.0,0.7,0.5,0.7,1.0,1.0,0.8235294117647058,0.30000000000000004,0.0,1.805835247039795,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Noisy_f5_s4096_r1_full_high,3,5,5,4096,1,full,high,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0']",100.0,0.5,1.0,0.7,0.5,0.7,1.0,1.0,0.8235294117647058,0.30000000000000004,0.0,2.9165632724761963,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
