experiment_id,samples,n_components,kernel,best_C,best_gamma,cv_score,train_accuracy,test_accuracy,test_balanced_accuracy,precision,recall,f1_score,generalization_gap,explained_variance_ratio,training_time
Exp001_100samp_2comp_linear,100,2,linear,0.1,N/A,0.9489473684210525,0.9393939393939394,0.8604651162790697,0.8540723981900452,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.0789288231148697,18.823437457342468,13.365743398666382
Exp002_100samp_2comp_rbf,100,2,rbf,1.0,auto,0.9489473684210525,0.9393939393939394,0.8372093023255814,0.8246606334841629,0.8125,0.7647058823529411,0.7878787878787878,0.10218463706835801,18.823437457342468,0.26389646530151367
Exp003_100samp_3comp_linear,100,3,linear,0.1,N/A,0.9389473684210525,0.9494949494949495,0.8604651162790697,0.8540723981900452,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.08902983321587976,24.809050762731932,0.0568394660949707
Exp004_100samp_3comp_rbf,100,3,rbf,1.0,scale,0.9489473684210525,0.9494949494949495,0.8837209302325582,0.8834841628959276,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.06577401926239135,24.809050762731932,0.18565011024475098
Exp005_100samp_4comp_linear,100,4,linear,0.1,N/A,0.9389473684210525,0.9494949494949495,0.8604651162790697,0.8540723981900452,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.08902983321587976,30.230821177526344,0.05531597137451172
Exp006_100samp_4comp_rbf,100,4,rbf,10.0,0.001,0.9389473684210525,0.9494949494949495,0.8837209302325582,0.8733031674208145,0.875,0.8235294117647058,0.8484848484848485,0.06577401926239135,30.230821177526344,0.20563578605651855
Exp007_100samp_5comp_linear,100,5,linear,1.0,N/A,0.9489473684210527,0.9696969696969697,0.8837209302325582,0.8834841628959276,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.08597603946441157,34.79788880078177,0.0590360164642334
Exp008_100samp_5comp_rbf,100,5,rbf,10.0,0.001,0.9389473684210525,0.9393939393939394,0.9069767441860465,0.8925339366515836,0.9333333333333333,0.8235294117647058,0.875,0.03241719520789299,34.79788880078177,0.23046135902404785
Exp009_100samp_6comp_linear,100,6,linear,10.0,N/A,0.9589473684210527,0.9696969696969697,0.9069767441860465,0.9027149321266968,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.06272022551092327,39.17058407350488,0.053740501403808594
Exp010_100samp_6comp_rbf,100,6,rbf,10.0,0.001,0.9389473684210525,0.9393939393939394,0.9069767441860465,0.8925339366515836,0.9333333333333333,0.8235294117647058,0.875,0.03241719520789299,39.17058407350488,0.25878190994262695
Exp011_100samp_7comp_linear,100,7,linear,10.0,N/A,0.9689473684210526,0.9696969696969697,0.8837209302325582,0.8834841628959276,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.08597603946441157,43.116469527641414,0.06984210014343262
Exp012_100samp_7comp_rbf,100,7,rbf,100.0,0.001,0.9589473684210527,0.9696969696969697,0.9069767441860465,0.9027149321266968,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.06272022551092327,43.116469527641414,0.2202928066253662
Exp013_100samp_8comp_linear,100,8,linear,10.0,N/A,0.9689473684210526,0.9696969696969697,0.8604651162790697,0.8642533936651584,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.10923185341789998,46.94806804865574,0.07039427757263184
Exp014_100samp_8comp_rbf,100,8,rbf,100.0,0.001,0.9589473684210527,0.9696969696969697,0.8372093023255814,0.8450226244343891,0.75,0.8823529411764706,0.8108108108108109,0.13248766737138828,46.94806804865574,0.19846248626708984
Exp015_200samp_2comp_linear,200,2,linear,0.01,N/A,0.8893589743589743,0.8944723618090452,0.8488372093023255,0.829185520361991,0.8620689655172413,0.7352941176470589,0.7936507936507936,0.04563515250671968,16.7845007232237,0.06622099876403809
Exp016_200samp_2comp_rbf,200,2,rbf,0.1,scale,0.8842307692307692,0.8793969849246231,0.8255813953488372,0.8048642533936652,0.8275862068965517,0.7058823529411765,0.7619047619047619,0.053815589575785916,16.7845007232237,0.21213364601135254
Exp017_200samp_3comp_linear,200,3,linear,0.01,N/A,0.8794871794871796,0.8844221105527639,0.8255813953488372,0.8099547511312217,0.8064516129032258,0.7352941176470589,0.7692307692307693,0.05884071520392664,20.96127772142658,0.06854748725891113
Exp018_200samp_3comp_rbf,200,3,rbf,1.0,0.01,0.8944871794871796,0.8994974874371859,0.813953488372093,0.8003393665158371,0.78125,0.7352941176470589,0.7575757575757576,0.08554399906509291,20.96127772142658,0.2109065055847168
Exp019_200samp_4comp_linear,200,4,linear,0.01,N/A,0.8694871794871796,0.8743718592964824,0.8255813953488372,0.8099547511312217,0.8064516129032258,0.7352941176470589,0.7692307692307693,0.04879046394764519,24.670973088792433,0.08220410346984863
Exp020_200samp_4comp_rbf,200,4,rbf,10.0,scale,0.9044871794871794,0.9296482412060302,0.813953488372093,0.8105203619909502,0.75,0.7941176470588235,0.7714285714285715,0.11569475283393715,24.670973088792433,0.208604097366333
Exp021_200samp_5comp_linear,200,5,linear,0.01,N/A,0.8694871794871796,0.8693467336683417,0.813953488372093,0.8003393665158371,0.78125,0.7352941176470589,0.7575757575757576,0.05539324529624867,28.284202749129207,0.14177227020263672
Exp022_200samp_5comp_rbf,200,5,rbf,1.0,0.01,0.8993589743589745,0.9095477386934674,0.8372093023255814,0.8195701357466063,0.8333333333333334,0.7352941176470589,0.78125,0.07233843636788595,28.284202749129207,0.1970233917236328
Exp023_200samp_6comp_linear,200,6,linear,0.01,N/A,0.8944871794871796,0.9095477386934674,0.8255813953488372,0.8099547511312217,0.8064516129032258,0.7352941176470589,0.7692307692307693,0.08396634334463016,31.66588833093086,0.0751500129699707
Exp024_200samp_6comp_rbf,200,6,rbf,1.0,0.01,0.9093589743589744,0.9195979899497487,0.8372093023255814,0.8195701357466063,0.8333333333333334,0.7352941176470589,0.78125,0.08238868762416729,31.66588833093086,0.2534811496734619
Exp025_200samp_7comp_linear,200,7,linear,0.01,N/A,0.8994871794871795,0.9045226130653267,0.8372093023255814,0.8144796380090498,0.8571428571428571,0.7058823529411765,0.7741935483870968,0.06731331073974522,34.90309810227398,0.1290726661682129
Exp026_200samp_7comp_rbf,200,7,rbf,10.0,scale,0.8996153846153847,0.9547738693467337,0.8604651162790697,0.8540723981900452,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.09430875306766395,34.90309810227398,0.24530744552612305
Exp027_200samp_8comp_linear,200,8,linear,1.0,N/A,0.9046153846153846,0.9195979899497487,0.9069767441860465,0.8976244343891402,0.90625,0.8529411764705882,0.8787878787878788,0.012621245763702271,38.092919759487046,0.11904716491699219
Exp028_200samp_8comp_rbf,200,8,rbf,10.0,0.01,0.9044871794871796,0.9195979899497487,0.8837209302325582,0.8733031674208145,0.875,0.8235294117647058,0.8484848484848485,0.035877059717190574,38.092919759487046,0.2554817199707031
Exp029_300samp_2comp_linear,300,2,linear,0.1,N/A,0.8824293785310733,0.8825503355704698,0.875968992248062,0.860105580693816,0.8888888888888888,0.7843137254901961,0.8333333333333334,0.006581343322407784,13.71919818969739,0.09265589714050293
Exp030_300samp_2comp_rbf,300,2,rbf,100.0,0.01,0.8991525423728813,0.9093959731543624,0.8837209302325582,0.8699095022624435,0.8913043478260869,0.803921568627451,0.845360824742268,0.025675042921804225,13.71919818969739,0.24820995330810547
Exp031_300samp_3comp_linear,300,3,linear,100.0,N/A,0.892542372881356,0.9026845637583892,0.875968992248062,0.8634992458521871,0.8723404255319149,0.803921568627451,0.8367346938775511,0.02671557151032722,19.108836763621635,0.07530355453491211
Exp032_300samp_3comp_rbf,300,3,rbf,100.0,0.01,0.8992090395480226,0.9161073825503355,0.8992248062015504,0.8861236802413273,0.9130434782608695,0.8235294117647058,0.865979381443299,0.016882576348785094,19.108836763621635,0.2191319465637207
Exp033_300samp_4comp_linear,300,4,linear,10.0,N/A,0.8925988700564972,0.9026845637583892,0.875968992248062,0.8634992458521871,0.8723404255319149,0.803921568627451,0.8367346938775511,0.02671557151032722,22.629485343702388,0.1085503101348877
Exp034_300samp_4comp_rbf,300,4,rbf,10.0,auto,0.912542372881356,0.9328859060402684,0.875968992248062,0.8634992458521871,0.8723404255319149,0.803921568627451,0.8367346938775511,0.056916913792206425,22.629485343702388,1.1039867401123047
Exp035_300samp_5comp_linear,300,5,linear,0.1,N/A,0.8891525423728813,0.9093959731543624,0.9069767441860465,0.8993212669683258,0.8979591836734694,0.8627450980392157,0.88,0.002419228968315923,25.928578149688015,0.4108462333679199
Exp036_300samp_5comp_rbf,300,5,rbf,10.0,scale,0.9057627118644067,0.9328859060402684,0.9069767441860465,0.8959276018099547,0.9148936170212766,0.8431372549019608,0.8775510204081632,0.025909161854221985,25.928578149688015,1.1258835792541504
Exp037_300samp_6comp_linear,300,6,linear,1.0,N/A,0.8893785310734463,0.9060402684563759,0.8914728682170543,0.8865007541478129,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.01456740023932157,28.974197942557396,0.3190908432006836
Exp038_300samp_6comp_rbf,300,6,rbf,100.0,0.01,0.9057627118644067,0.9261744966442953,0.8837209302325582,0.8699095022624435,0.8913043478260869,0.803921568627451,0.845360824742268,0.04245356641173714,28.974197942557396,1.200592041015625
Exp039_300samp_7comp_linear,300,7,linear,1.0,N/A,0.9060451977401132,0.9060402684563759,0.8837209302325582,0.8766968325791855,0.86,0.8431372549019608,0.8514851485148515,0.02231933822381771,31.90293756339383,0.3053781986236572
Exp040_300samp_7comp_rbf,300,7,rbf,100.0,0.001,0.8993785310734463,0.9161073825503355,0.8992248062015504,0.8929110105580694,0.88,0.8627450980392157,0.8712871287128713,0.016882576348785094,31.90293756339383,1.2766494750976562
Exp041_300samp_8comp_linear,300,8,linear,10.0,N/A,0.8992090395480228,0.9194630872483222,0.8992248062015504,0.8963046757164403,0.8653846153846154,0.8823529411764706,0.8737864077669902,0.020238281046771722,34.69945872372185,0.2868342399597168
Exp042_300samp_8comp_rbf,300,8,rbf,10.0,0.01,0.9025423728813561,0.9261744966442953,0.8837209302325582,0.8733031674208145,0.875,0.8235294117647058,0.8484848484848485,0.04245356641173714,34.69945872372185,1.0405642986297607
Exp043_400samp_2comp_linear,400,2,linear,1.0,N/A,0.8847468354430379,0.8796992481203008,0.8837209302325582,0.874208526804559,0.8769230769230769,0.8260869565217391,0.8507462686567164,0.0040216821122573965,16.710879817495655,0.28037452697753906
Exp044_400samp_2comp_rbf,400,2,rbf,10.0,0.01,0.8847468354430379,0.8822055137844611,0.877906976744186,0.8669621499929647,0.875,0.8115942028985508,0.8421052631578947,0.004298537040275052,16.710879817495655,1.1159839630126953
Exp045_400samp_3comp_linear,400,3,linear,0.01,N/A,0.8822151898734176,0.8822055137844611,0.8662790697674418,0.8524693963697763,0.8709677419354839,0.782608695652174,0.8244274809160306,0.01592644401701926,20.279780173817457,0.23451495170593262
Exp046_400samp_3comp_rbf,400,3,rbf,1.0,0.01,0.8847468354430379,0.8847117794486216,0.872093023255814,0.8597157731813705,0.873015873015873,0.7971014492753623,0.8333333333333334,0.012618756192807612,20.279780173817457,1.4738671779632568
Exp047_400samp_4comp_linear,400,4,linear,1.0,N/A,0.8898101265822784,0.8922305764411027,0.8837209302325582,0.8789925425636697,0.855072463768116,0.855072463768116,0.855072463768116,0.008509646208544552,23.637947259647834,0.2544865608215332
Exp048_400samp_4comp_rbf,400,4,rbf,1.0,0.1,0.8948101265822785,0.8972431077694235,0.8895348837209303,0.8814549036161531,0.8787878787878788,0.8405797101449275,0.8592592592592593,0.007708224048493251,23.637947259647834,1.3985555171966553
Exp049_400samp_5comp_linear,400,5,linear,0.1,N/A,0.8947784810126581,0.8972431077694235,0.8895348837209303,0.8862389193752638,0.8571428571428571,0.8695652173913043,0.8633093525179856,0.007708224048493251,26.705327625991277,0.2846646308898926
Exp050_400samp_5comp_rbf,400,5,rbf,1.0,0.01,0.8923101265822785,0.8972431077694235,0.8895348837209303,0.8790628957365978,0.890625,0.8260869565217391,0.8571428571428571,0.007708224048493251,26.705327625991277,1.2405526638031006
Exp051_400samp_6comp_linear,400,6,linear,1.0,N/A,0.8873101265822786,0.8947368421052632,0.9011627906976745,0.8959476572393414,0.8823529411764706,0.8695652173913043,0.8759124087591241,0.006425948592411301,29.672665681386135,0.29964208602905273
Exp052_400samp_6comp_rbf,400,6,rbf,1.0,scale,0.8998101265822787,0.9097744360902256,0.8953488372093024,0.8839172646686366,0.9047619047619048,0.8260869565217391,0.8636363636363636,0.014425598880923207,29.672665681386135,1.4326503276824951
Exp053_400samp_7comp_linear,400,7,linear,10.0,N/A,0.8973417721518988,0.9022556390977443,0.9127906976744186,0.9080484029829745,0.8970588235294118,0.8840579710144928,0.8905109489051095,0.01053505857667425,32.46743872737453,0.5043823719024658
Exp054_400samp_7comp_rbf,400,7,rbf,10.0,scale,0.9023417721518987,0.9223057644110275,0.8953488372093024,0.8863092725481919,0.8923076923076924,0.8405797101449275,0.8656716417910447,0.026956927201725156,32.46743872737453,1.3560595512390137
Exp055_400samp_8comp_linear,400,8,linear,10.0,N/A,0.9023101265822785,0.9022556390977443,0.9069767441860465,0.9031940340509357,0.8840579710144928,0.8840579710144928,0.8840579710144928,0.004721105088302147,35.19314097555713,0.4555037021636963
Exp056_400samp_8comp_rbf,400,8,rbf,1.0,scale,0.9048101265822786,0.9097744360902256,0.8953488372093024,0.8815252567890812,0.9180327868852459,0.8115942028985508,0.8615384615384616,0.014425598880923207,35.19314097555713,1.3261377811431885
Exp057_500samp_2comp_linear,500,2,linear,1.0,N/A,0.8698989898989901,0.8657314629258517,0.8883720930232558,0.8817829457364341,0.8690476190476191,0.8488372093023255,0.8588235294117647,0.022640630097404135,15.836419095119913,0.34218597412109375
Exp058_500samp_2comp_rbf,500,2,rbf,1.0,scale,0.86789898989899,0.8717434869739479,0.8930232558139535,0.8875968992248062,0.8705882352941177,0.8604651162790697,0.8654970760233918,0.021279768840005597,15.836419095119913,1.3669822216033936
Exp059_500samp_3comp_linear,500,3,linear,0.1,N/A,0.8698989898989898,0.8717434869739479,0.8930232558139535,0.8856589147286822,0.8795180722891566,0.8488372093023255,0.863905325443787,0.021279768840005597,20.807971166613267,0.32413291931152344
Exp060_500samp_3comp_rbf,500,3,rbf,100.0,0.001,0.871919191919192,0.8717434869739479,0.8930232558139535,0.8875968992248062,0.8705882352941177,0.8604651162790697,0.8654970760233918,0.021279768840005597,20.807971166613267,1.6023437976837158
Exp061_500samp_4comp_linear,500,4,linear,10.0,N/A,0.8739191919191919,0.8717434869739479,0.8837209302325582,0.8837209302325582,0.8351648351648352,0.8837209302325582,0.8587570621468926,0.011977443258610276,24.267426846830553,0.41768789291381836
Exp062_500samp_4comp_rbf,500,4,rbf,1.0,scale,0.873939393939394,0.8797595190380761,0.9069767441860465,0.9069767441860465,0.8666666666666667,0.9069767441860465,0.8863636363636364,0.027217225147970314,24.267426846830553,1.5539684295654297
Exp063_500samp_5comp_linear,500,5,linear,1.0,N/A,0.881939393939394,0.8817635270541082,0.9023255813953488,0.9011627906976745,0.8651685393258427,0.8953488372093024,0.88,0.020562054341240588,27.366088351007615,0.5379648208618164
Exp064_500samp_5comp_rbf,500,5,rbf,100.0,0.01,0.9039393939393939,0.9158316633266533,0.8790697674418605,0.8798449612403101,0.8260869565217391,0.8837209302325582,0.8539325842696629,0.03676189588479284,27.366088351007615,1.3758819103240967
Exp065_500samp_6comp_linear,500,6,linear,1.0,N/A,0.883939393939394,0.8777555110220441,0.8883720930232558,0.8895348837209303,0.8369565217391305,0.8953488372093024,0.8651685393258427,0.010616582001211738,30.270007944842543,0.6855714321136475
Exp066_500samp_6comp_rbf,500,6,rbf,100.0,0.01,0.903878787878788,0.9198396793587175,0.8651162790697674,0.8662790697674418,0.8064516129032258,0.872093023255814,0.8379888268156425,0.054723400288950064,30.270007944842543,1.3763244152069092
Exp067_500samp_7comp_linear,500,7,linear,1.0,N/A,0.881939393939394,0.8897795591182365,0.8837209302325582,0.8837209302325582,0.8351648351648352,0.8837209302325582,0.8587570621468926,0.006058628885678319,33.119036360918045,0.8680777549743652
Exp068_500samp_7comp_rbf,500,7,rbf,100.0,0.01,0.9018989898989899,0.9198396793587175,0.8697674418604651,0.8701550387596899,0.8152173913043478,0.872093023255814,0.8426966292134831,0.0500722374982524,33.119036360918045,1.4922418594360352
Exp069_500samp_8comp_linear,500,8,linear,1.0,N/A,0.919939393939394,0.9238476953907816,0.9069767441860465,0.9011627906976745,0.8928571428571429,0.872093023255814,0.8823529411764706,0.01687095120473514,35.872377317290436,0.7701735496520996
Exp070_500samp_8comp_rbf,500,8,rbf,100.0,0.001,0.9179393939393939,0.9238476953907816,0.9209302325581395,0.9147286821705427,0.9156626506024096,0.8837209302325582,0.8994082840236687,0.002917462832642048,35.872377317290436,1.4902186393737793
Exp071_600samp_2comp_linear,600,2,linear,0.1,N/A,0.8865126050420168,0.8864774624373957,0.8798449612403101,0.8690573128719072,0.875,0.8155339805825242,0.8442211055276382,0.006632501197085583,17.804339444180535,0.2977876663208008
Exp072_600samp_2comp_rbf,600,2,rbf,100.0,1,0.8931932773109243,0.8981636060100167,0.875968992248062,0.8658315064202944,0.865979381443299,0.8155339805825242,0.84,0.02219461376195464,17.804339444180535,1.6870877742767334
Exp073_600samp_3comp_linear,600,3,linear,0.1,N/A,0.889859943977591,0.8898163606010017,0.8875968992248062,0.8787660507359849,0.8775510204081632,0.8349514563106796,0.8557213930348259,0.002219461376195442,21.625872585812715,0.3238232135772705
Exp074_600samp_3comp_rbf,600,3,rbf,100.0,0.01,0.8965266106442578,0.8981636060100167,0.872093023255814,0.8658628249295333,0.8431372549019608,0.8349514563106796,0.8390243902439024,0.02607058275420271,21.625872585812715,1.5437753200531006
