experiment_id,exp_number,n_features,n_features_selected,shots,reps,entanglement,noise_level,selected_features,best_c,cv_score,train_acc,test_acc,test_balanced_acc,precision,recall,recall_pos1,f1_score,gen_gap,kernel_time,train_time,y_test,y_pred
EM_f2_s1024_r2_circular_high,15,2,2,1024,2,circular,high,"['attr_13_3', 'attr_26_2']",10.0,0.6666666666666666,0.6818181818181818,0.8,0.7619047619047619,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.11818181818181828,4.563560247421265,0.02576756477355957,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]"
EM_f2_s1024_r2_full_low,16,2,2,1024,2,full,low,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,4.510551929473877,0.026166200637817383,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s1024_r2_full_standard,17,2,2,1024,2,full,standard,"['attr_13_3', 'attr_26_2']",0.01,0.5,0.36363636363636365,0.3,0.5,0.0,0.0,0.0,0.0,0.06363636363636366,4.625810861587524,0.026096105575561523,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s1024_r2_full_high,18,2,2,1024,2,full,high,"['attr_13_3', 'attr_26_2']",10.0,0.6666666666666666,0.6818181818181818,0.8,0.7619047619047619,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.11818181818181828,4.446893930435181,0.025478839874267578,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]"
EM_f2_s4096_r1_linear_low,19,2,2,4096,1,linear,low,"['attr_13_3', 'attr_26_2']",100.0,0.5111111111111111,0.5,0.6,0.42857142857142855,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.75,0.09999999999999998,13.010822057723999,0.02549004554748535,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
EM_f2_s4096_r1_linear_standard,20,2,2,4096,1,linear,standard,"['attr_13_3', 'attr_26_2']",100.0,0.5777777777777778,0.5,0.4,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.09999999999999998,13.031243085861206,0.026541948318481445,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 1, 1, 1, 0, 1, 1, 1, 1]"
EM_f2_s4096_r1_linear_high,21,2,2,4096,1,linear,high,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,13.019692659378052,0.02557229995727539,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s4096_r1_circular_low,22,2,2,4096,1,circular,low,"['attr_13_3', 'attr_26_2']",100.0,0.5111111111111111,0.5,0.6,0.42857142857142855,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.75,0.09999999999999998,12.905610799789429,0.02622079849243164,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
EM_f2_s4096_r1_circular_standard,23,2,2,4096,1,circular,standard,"['attr_13_3', 'attr_26_2']",100.0,0.5777777777777778,0.5,0.4,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.09999999999999998,13.1397066116333,0.026462078094482422,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 1, 1, 1, 0, 1, 1, 1, 1]"
EM_f2_s4096_r1_circular_high,24,2,2,4096,1,circular,high,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,13.049162149429321,0.026650428771972656,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
