experiment_id,exp_number,n_features,n_features_selected,shots,reps,entanglement,selected_features,best_c,cv_score,train_acc,test_acc,test_balanced_acc,precision,recall,f1_score,gen_gap,kernel_time,train_time,y_test,y_pred
Exp_f2_s8192_r1_full,15,2,2,8192,1,full,"['attr_13_3', 'attr_26_2']",0.01,0.5,0.7272727272727273,0.8,0.6666666666666666,0.7777777777777778,1.0,0.875,0.07272727272727275,7.338937520980835,0.02605128288269043,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]"
Exp_f2_s8192_r2_linear,16,2,2,8192,2,linear,"['attr_13_3', 'attr_26_2']",0.1,0.5,0.7272727272727273,0.3,0.30952380952380953,0.5,0.2857142857142857,0.36363636363636365,0.4272727272727273,7.362666130065918,0.02703547477722168,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 1, 0, 0, 1, 0, 1, 1, 0]"
Exp_f2_s8192_r2_circular,17,2,2,8192,2,circular,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.027272727272727282,7.551399230957031,0.02684187889099121,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Exp_f2_s8192_r2_full,18,2,2,8192,2,full,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.027272727272727282,7.439628839492798,0.024548053741455078,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Exp_f3_s1024_r1_linear,19,3,3,1024,1,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.027272727272727282,1.8396029472351074,0.02694106101989746,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Exp_f3_s1024_r1_circular,20,3,3,1024,1,circular,"['attr_13_3', 'attr_26_2', 'attr_13_2']",0.1,0.5,0.6818181818181818,0.7,0.6904761904761905,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.018181818181818188,1.9611051082611084,0.02574300765991211,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
Exp_f3_s1024_r1_full,21,3,3,1024,1,full,"['attr_13_3', 'attr_26_2', 'attr_13_2']",0.1,0.5,0.6818181818181818,0.7,0.6904761904761905,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.018181818181818188,2.0175557136535645,0.02681565284729004,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
Exp_f3_s1024_r2_linear,22,3,3,1024,2,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2']",100.0,0.6,0.9545454545454546,0.5,0.35714285714285715,0.625,0.7142857142857143,0.6666666666666666,0.4545454545454546,2.203488826751709,0.024765968322753906,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
Exp_f3_s1024_r2_circular,23,3,3,1024,2,circular,"['attr_13_3', 'attr_26_2', 'attr_13_2']",10.0,0.5111111111111111,0.6363636363636364,0.5,0.5476190476190476,0.75,0.42857142857142855,0.5454545454545454,0.13636363636363635,2.3575031757354736,0.02539849281311035,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 0, 0, 0, 0]"
Exp_f3_s1024_r2_full,24,3,3,1024,2,full,"['attr_13_3', 'attr_26_2', 'attr_13_2']",100.0,0.5111111111111111,0.9545454545454546,0.5,0.5476190476190476,0.75,0.42857142857142855,0.5454545454545454,0.4545454545454546,2.530108690261841,0.026711225509643555,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
