experiment_id,exp_number,n_features,n_features_selected,shots,reps,entanglement,noise_level,selected_features,best_c,cv_score,train_acc,test_acc,test_balanced_acc,precision,recall,recall_pos1,f1_score,gen_gap,kernel_time,train_time,y_test,y_pred
Noisy_f2_s1024_r2_circular_standard,14,2,2,1024,2,circular,standard,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,5.156599760055542,0.06520438194274902,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s1024_r2_circular_high,15,2,2,1024,2,circular,high,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,5.698528051376343,0.06416106224060059,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s1024_r2_full_low,16,2,2,1024,2,full,low,"['attr_13_3', 'attr_26_2']",0.1,0.5,0.6818181818181818,0.5,0.5476190476190476,0.75,0.42857142857142855,0.42857142857142855,0.5454545454545454,0.18181818181818177,5.986701011657715,0.06641125679016113,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
Noisy_f2_s1024_r2_full_standard,17,2,2,1024,2,full,standard,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,4.971256256103516,0.07733964920043945,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s1024_r2_full_high,18,2,2,1024,2,full,high,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,5.004509925842285,0.07162857055664062,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noisy_f2_s4096_r1_linear_low,19,2,2,4096,1,linear,low,"['attr_13_3', 'attr_26_2']",100.0,0.5499999999999999,0.8636363636363636,0.4,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4636363636363636,15.187290668487549,0.06751418113708496,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 1, 0, 1, 1, 1]"
Noisy_f2_s4096_r1_linear_standard,20,2,2,4096,1,linear,standard,"['attr_13_3', 'attr_26_2']",0.1,0.5,1.0,0.7,0.5,0.7,1.0,1.0,0.8235294117647058,0.30000000000000004,14.236323595046997,0.09667301177978516,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Noisy_f2_s4096_r1_linear_high,21,2,2,4096,1,linear,high,"['attr_13_3', 'attr_26_2']",0.1,0.5,1.0,0.7,0.5,0.7,1.0,1.0,0.8235294117647058,0.30000000000000004,14.718703269958496,0.0638272762298584,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Noisy_f2_s4096_r1_circular_low,22,2,2,4096,1,circular,low,"['attr_13_3', 'attr_26_2']",100.0,0.5499999999999999,0.8636363636363636,0.4,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4636363636363636,14.253997802734375,0.06966114044189453,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 1, 0, 1, 1, 1]"
Noisy_f2_s4096_r1_circular_standard,23,2,2,4096,1,circular,standard,"['attr_13_3', 'attr_26_2']",0.1,0.5,1.0,0.7,0.5,0.7,1.0,1.0,0.8235294117647058,0.30000000000000004,9.332703590393066,0.05022597312927246,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Noisy_f2_s4096_r1_circular_high,24,2,2,4096,1,circular,high,"['attr_13_3', 'attr_26_2']",0.1,0.5,1.0,0.7,0.5,0.7,1.0,1.0,0.8235294117647058,0.30000000000000004,12.995450258255005,0.056844234466552734,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Noisy_f2_s4096_r1_full_low,25,2,2,4096,1,full,low,"['attr_13_3', 'attr_26_2']",100.0,0.5499999999999999,0.8636363636363636,0.4,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4636363636363636,13.47851014137268,0.06653976440429688,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 1, 0, 1, 1, 1]"
Noisy_f2_s4096_r1_full_standard,26,2,2,4096,1,full,standard,"['attr_13_3', 'attr_26_2']",0.1,0.5,1.0,0.7,0.5,0.7,1.0,1.0,0.8235294117647058,0.30000000000000004,13.944448471069336,0.07662057876586914,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Noisy_f2_s4096_r1_full_high,27,2,2,4096,1,full,high,"['attr_13_3', 'attr_26_2']",0.1,0.5,1.0,0.7,0.5,0.7,1.0,1.0,0.8235294117647058,0.30000000000000004,14.193659543991089,0.0587918758392334,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Noisy_f2_s4096_r2_linear_low,28,2,2,4096,2,linear,low,"['attr_13_3', 'attr_26_2']",100.0,0.6055555555555555,0.8181818181818182,0.4,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4181818181818182,14.979137420654297,0.059893131256103516,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 1, 0, 1, 1, 1]"
Noisy_f2_s4096_r2_linear_standard,29,2,2,4096,2,linear,standard,"['attr_13_3', 'attr_26_2']",0.01,0.5,1.0,0.7,0.5,0.7,1.0,1.0,0.8235294117647058,0.30000000000000004,14.811662912368774,0.06088614463806152,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Noisy_f2_s4096_r2_linear_high,30,2,2,4096,2,linear,high,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,14.260056734085083,0.07612800598144531,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
